40	0.5	26.6044	0.8529
45	0.5	30.29412	0.8024
50	0.5	32.75991	0.8158
55	0.5	35.25349	0.7741
60	0.5	37.38514	0.7563
65	0.5	39.76285	0.734
70	0.5	42.36534	0.688
75	0.5	45.2904	0.6434
80	0.5	47.52586	0.6092
85	0.5	49.5061	0.5513
90	0.5	51.04007	0.5156
95	0.5	53.27377	0.4354
100	0.5	54.80414	0.419
105	0.5	55.6753	0.3551
110	0.5	58.62131	0.3105
115	0.5	60.54083	0.2853
120	0.5	60.98689	0.2571
125	0.5	64.27723	0.2095
130	0.5	65.60246	0.2006
135	0.5	66.43377	0.159
140	0.5	67.89387	0.1263
40	1	26.07491	0.8321
45	1	29.98946	0.8366
50	1	32.69854	0.7771
55	1	35.31406	0.7786
60	1	37.94193	0.7355
65	1	39.91692	0.7548
70	1	42.59361	0.685
75	1	45.15903	0.6285
80	1	47.07125	0.6033
85	1	48.54411	0.575
90	1	51.3887	0.5171
95	1	53.16689	0.4502
100	1	54.52404	0.4146
105	1	57.04397	0.3744
110	1	59.02165	0.3195
115	1	59.94218	0.2912
120	1	62.12728	0.26
125	1	63.1202	0.2199
130	1	66.41249	0.1783
135	1	67.38105	0.159
140	1	67.75154	0.1263
40	2	26.99657	0.8321
45	2	29.31837	0.8366
50	2	32.67937	0.8098
55	2	35.00114	0.7801
60	2	37.41625	0.7845
65	2	39.97888	0.7415
70	2	41.68356	0.7043
75	2	44.395	0.6389
80	2	47.38532	0.6196
85	2	49.47121	0.5542
90	2	51.61779	0.5082
95	2	53.4142	0.4606
100	2	55.5633	0.422
105	2	56.67174	0.3418
110	2	58.8071	0.3269
115	2	60.31526	0.2615
120	2	62.23378	0.2511
125	2	62.97818	0.2065
130	2	64.99224	0.1783
135	2	67.17441	0.159
140	2	66.41162	0.1322
40	3	26.90168	0.8395
45	3	29.94276	0.8172
50	3	31.45554	0.7905
55	3	35.46915	0.8009
60	3	37.43983	0.7578
65	3	40.52073	0.7355
70	3	42.68959	0.688
75	3	44.72078	0.6389
80	3	46.06376	0.633
85	3	49.24805	0.5721
90	3	51.14242	0.5215
95	3	52.90756	0.4948
100	3	55.37147	0.4101
105	3	56.55638	0.3759
110	3	58.56114	0.3492
115	3	60.93407	0.2749
120	3	61.92482	0.26
125	3	64.62455	0.208
130	3	64.97681	0.1813
135	3	67.07019	0.1664
140	3	68.44245	0.1174
40	5	26.82141	0.8291
45	5	30.09525	0.8083
50	5	32.43821	0.8291
55	5	35.24033	0.8068
60	5	38.41143	0.7608
65	5	39.23424	0.737
70	5	42.19232	0.6969
75	5	44.79133	0.6389
80	5	47.04398	0.6033
85	5	49.30799	0.578
90	5	50.24406	0.5319
95	5	52.32604	0.4621
100	5	55.664	0.4294
105	5	57.37097	0.4012
110	5	58.34697	0.3418
115	5	60.22945	0.3016
120	5	62.5254	0.2363
125	5	64.00354	0.2199
130	5	65.40053	0.1842
135	5	66.36235	0.159
140	5	67.11305	0.1293
40	8	25.05214	0.8499
45	8	29.27155	0.8262
50	8	32.61703	0.8202
55	8	35.42511	0.792
60	8	37.35717	0.7682
65	8	40.02207	0.7073
70	8	42.39495	0.6999
75	8	44.62631	0.6568
80	8	46.10947	0.6018
85	8	48.95983	0.5988
90	8	50.24331	0.5245
95	8	53.38858	0.4725
100	8	54.32475	0.4146
105	8	55.93472	0.367
110	8	58.98696	0.3239
115	8	60.2604	0.2957
120	8	62.66037	0.2481
125	8	63.44048	0.2496
130	8	64.82311	0.1857
135	8	67.01497	0.162
140	8	67.67167	0.1293
40	10	27.01819	0.847
45	10	29.29128	0.8291
50	10	32.49193	0.8053
55	10	34.28217	0.789
60	10	37.25386	0.7325
65	10	39.37175	0.74
70	10	41.90329	0.6969
75	10	43.46314	0.6181
80	10	46.50964	0.6062
85	10	48.20645	0.5721
90	10	50.43495	0.5156
95	10	53.40011	0.4933
100	10	54.64564	0.4487
105	10	56.13456	0.3834
110	10	58.54876	0.318
115	10	60.12571	0.3091
120	10	61.63557	0.2541
125	10	63.79357	0.2214
130	10	64.84372	0.1857
135	10	66.24174	0.1634
140	10	67.59119	0.1337
40	15	26.39414	0.8574
45	15	29.46052	0.8232
50	15	31.94356	0.7994
55	15	34.86567	0.7608
60	15	37.25192	0.7756
65	15	39.23656	0.7415
70	15	41.09194	0.6984
75	15	43.23204	0.6612
80	15	46.7849	0.6107
85	15	48.18247	0.5929
90	15	50.28905	0.526
95	15	53.14871	0.4666
100	15	54.67591	0.4235
105	15	55.9623	0.3819
110	15	56.63696	0.318
115	15	60.1298	0.312
120	15	61.28981	0.2273
125	15	63.21323	0.2348
130	15	64.19926	0.1575
135	15	66.50223	0.1516
140	15	68.00245	0.1397
40	20	25.44854	0.8499
45	20	28.11814	0.8425
50	20	30.71613	0.7979
55	20	34.2309	0.7831
60	20	36.04932	0.737
65	20	39.69556	0.7563
70	20	39.50928	0.6969
75	20	44.06884	0.633
80	20	46.14582	0.6062
85	20	48.03914	0.5706
90	20	49.86267	0.5319
95	20	52.90476	0.4725
100	20	54.63689	0.425
105	20	55.83916	0.3789
110	20	56.63765	0.3358
115	20	58.43737	0.263
120	20	61.3737	0.2585
125	20	63.06996	0.208
130	20	65.14777	0.1634
135	20	66.60726	0.1471
140	20	67.62734	0.1218
40	0.5	27.18236	0.8455
45	0.5	29.04155	0.8262
50	0.5	31.65567	0.8158
55	0.5	35.70095	0.7875
60	0.5	37.97689	0.7548
