Size	Alpha	Min	TAR
70	5	43.41855898	0.0722
65	5	39.62167259	0.1169
60	5	38.83604237	0.1712
100	8	51.19246086	0.0054
95	8	50.88467072	0.0125
90	8	48.96725005	0.0188
85	8	46.49076078	0.0246
80	8	45.44943394	0.0363
75	8	42.44372314	0.0501
70	8	40.57898328	0.076
65	8	38.35463011	0.129
60	8	37.84559721	0.1745
100	10	53.01703966	0.005
95	10	48.08651748	0.0104
90	10	48.36692414	0.0138
85	10	44.86072025	0.0276
80	10	43.64533179	0.0359
75	10	42.48210305	0.0493
70	10	42.2432159	0.0697
65	10	38.84764264	0.1115
60	10	36.5748676	0.1695
100	12	48.00578775	0.0067
95	12	47.1905636	0.0125
90	12	47.32168894	0.0134
85	12	46.22166455	0.0234
80	12	45.24879455	0.0296
75	12	41.87025925	0.0522
70	12	41.34412653	0.071
65	12	35.19490505	0.1069
60	12	37.48110367	0.18
100	15	49.64252547	0.0088
95	15	49.14249301	0.0104
90	15	46.81784649	0.0167
85	15	45.75709461	0.0251
80	15	43.31589154	0.0288
75	15	42.4255838	0.0497
70	15	40.38173035	0.0756
65	15	37.36960669	0.1244
60	15	36.00027154	0.1791
100	20	49.18056714	0.01
95	20	47.34488664	0.0146
90	20	46.05410711	0.0159
85	20	44.77228094	0.0196
80	20	43.0258988	0.0338
75	20	40.63024744	0.0526
70	20	39.68076512	0.0793
65	20	37.45542985	0.1207
60	20	34.82863099	0.1712
