Size	Alpha	Min	TAR
60	2	33.3001791	0.3292
60	1	32.86456285	0.3918
60	0	32.19132963	0.4454
65	0	31.35995444	0.3506
60	0.5	30.93424934	0.4275
60	0	32.35317643	0.4669
60	0.5	31.92999416	0.4562
60	3	30.33185732	0.5778
60	1	29.89727878	0.5081
60	2	28.49553428	0.5742
60	5	26.57727128	0.6386
60	8	24.46957516	0.8157
60	10	19.56045984	0.8855
60	12	18.65180149	0.9195
60	15	13.93015525	0.9356
60	20	11.53337377	0.9624
65	0	35.91953386	0.3381
65	0.5	32.85479512	0.3309
65	2	32.07114114	0.4079
65	3	30.20571978	0.4436
65	1	29.64591882	0.347
65	5	25.05312734	0.5134
65	8	23.85966457	0.6977
65	10	23.2972822	0.7531
65	12	19.16822722	0.8032
65	15	14.95118263	0.9123
65	20	11.76492099	0.9302
70	0	36.8819029	0.2308
70	1	36.19475508	0.263
70	0.5	32.74686732	0.1843
70	3	29.60307804	0.2773
70	2	29.55130716	0.2558
70	5	29.15000825	0.4401
70	8	23.7660067	0.5617
70	12	21.88889394	0.7013
70	10	19.80467042	0.6619
70	15	15.62476366	0.8408
70	20	11.91253988	0.8694
75	2	36.39157899	0.2004
75	3	35.88399052	0.2093
75	1	35.85544824	0.1646
75	0.5	34.11028834	0.1556
75	0	32.2541271	0.127
75	5	28.35462309	0.2934
75	8	26.32712107	0.4544
75	10	23.88840489	0.5349
75	12	18.98837216	0.6583
75	15	17.65189063	0.7764
75	20	10.9245697	0.7961
80	0.5	42.01678962	0.1216
80	0	36.88165409	0.1163
80	2	36.38673294	0.1413
80	1	36.05595329	0.1181
80	5	35.40871547	0.2451
80	3	34.0859041	0.195
80	8	30.04275126	0.347
80	10	25.67298483	0.4669
80	12	21.18959059	0.5027
80	15	18.02857242	0.6565
80	20	12.98098073	0.7263
85	1	41.71134336	0.0698
85	0	39.70852689	0.0948
85	0.5	39.21278076	0.0912
85	3	38.01369236	0.1252
85	2	37.71570991	0.0859
85	5	33.92237016	0.1342
85	8	30.38972573	0.2898
85	12	23.87592257	0.3971
85	10	22.89389292	0.3488
85	15	16.39228113	0.5492
85	20	15.48406934	0.619
90	0.5	43.99947857	0.0483
90	2	41.6074465	0.059
90	1	41.55683609	0.0465
90	0	38.45967721	0.0519
90	3	37.70693647	0.059
90	5	33.30987016	0.1395
90	8	31.21575805	0.2147
90	10	26.87686553	0.229
90	12	25.03482565	0.3828
90	15	20.60704526	0.5009
90	20	15.80895243	0.5635
95	0.5	45.42586426	0.034
95	0	43.93512307	0.0358
95	2	43.11552724	0.0429
95	1	39.91200547	0.0411
95	3	38.60596398	0.0537
95	5	38.20683045	0.1038
95	8	31.18840786	0.1646
95	10	24.23279475	0.2826
95	12	22.24778168	0.288
95	15	16.94117114	0.3882
95	20	15.87849406	0.517
100	0.5	49.61493306	0.025
100	1	47.41316074	0.0268
100	0	46.87933239	0.034
100	2	43.68577919	0.0215
100	3	41.05906304	0.0286
100	5	38.13665877	0.0644
100	8	32.14073855	0.0966
100	10	27.02290357	0.1449
100	12	24.97562075	0.22
100	15	18.80203493	0.3184
100	20	16.79603324	0.4383
100	0.5	48.86130062	0.0286
95	0.5	45.47822863	0.025
90	0.5	45.21542095	0.0447
85	0.5	41.79136542	0.0626
80	0.5	41.3354023	0.0823
75	0.5	37.67611792	0.1199
65	0.5	35.76400148	0.2701
70	0.5	34.39265734	0.161
60	0.5	30.93424934	0.4275
95	1	50.48309065	0.0286
85	1	45.67995526	0.0447
90	1	44.68179347	0.0215
100	1	44.33759328	0.0233
75	1	41.96121873	0.1181
80	1	38.16618952	0.0984
70	1	37.01186806	0.2004
65	1	35.39398367	0.263
60	1	32.86456285	0.3918
100	2	52.8975881	0.0179
90	2	49.37036249	0.0286
95	2	49.11844465	0.0161
85	2	46.54113752	0.0394
75	2	42.62477717	0.0859
80	2	42.61721852	0.0698
70	2	40.67035857	0.1538
65	2	39.2943658	0.2182
60	2	33.3001791	0.3292
100	3	49.19807547	0.0089
90	3	49.01601174	0.0304
95	3	48.93303125	0.0125
85	3	47.83859796	0.0286
80	3	44.29840759	0.0429
70	3	41.40909851	0.1342
75	3	39.1096161	0.1038
65	3	37.58146773	0.1825
60	3	34.42653101	0.297
100	5	56.85414386	0.0072
95	5	53.69260632	0.0107
90	5	48.68421722	0.0161
85	5	47.11417165	0.0304
80	5	47.07262776	0.0429
70	5	40.19682293	0.093
65	5	39.44454858	0.1628
75	5	39.1186473	0.0608
60	5	38.39342597	0.2648
100	8	57.54884912	0.0054
95	8	55.6356299	0.0072
90	8	51.38286382	0.0143
85	8	49.06837582	0.0143
80	8	49.05121791	0.0358
75	8	46.02334925	0.0429
70	8	43.23460318	0.1091
65	8	40.82227511	0.1091
60	8	37.71486458	0.1968
100	10	56.88008313	0.0072
95	10	53.84070243	0.0072
90	10	52.41642256	0.0215
85	10	49.91417898	0.0233
80	10	47.93803096	0.0376
75	10	45.69492686	0.0483
65	10	42.10628352	0.1145
70	10	40.04297985	0.0501
60	10	38.03771428	0.1503
100	12	58.09568647	0.0036
90	12	55.06711465	0.0143
95	12	54.72984702	0.0125
85	12	52.54909447	0.0215
80	12	50.32136838	0.0161
75	12	46.37696916	0.0465
70	12	46.24731623	0.0555
65	12	40.92803098	0.0984
60	12	39.65162535	0.127
100	15	59.74368746	0.0036
90	15	55.72285404	0.0143
95	15	55.65836523	0.0018
85	15	51.80200017	0.0125
80	15	49.89787813	0.0304
75	15	47.76064054	0.025
70	15	44.82281449	0.0358
65	15	41.51807451	0.1038
60	15	38.42792986	0.1234
95	20	58.17004128	0.0036
100	20	57.92961761	0.0072
90	20	54.34813047	0
85	20	50.42656286	0.0072
80	20	49.81484682	0.0179
75	20	48.04451146	0.0358
70	20	44.67339914	0.0394
65	20	41.67913453	0.068
60	20	38.74904974	0.1181
60	0.5	31.92999416	0.4562
65	0.5	32.85479512	0.3309
70	0.5	32.74686732	0.1843
75	0.5	34.11028834	0.1556
80	0.5	42.01678962	0.1216
85	0.5	39.21278076	0.0912
90	0.5	43.99947857	0.0483
95	0.5	45.42586426	0.034
100	0.5	49.61493306	0.025
60	1	29.89727878	0.5081
65	1	29.64591882	0.347
70	1	36.19475508	0.263
75	1	35.85544824	0.1646
80	1	36.05595329	0.1181
85	1	41.71134336	0.0698
90	1	41.55683609	0.0465
95	1	39.91200547	0.0411
100	1	47.41316074	0.0268
60	2	28.49553428	0.5742
65	2	32.07114114	0.4079
70	2	29.55130716	0.2558
75	2	36.39157899	0.2004
80	2	36.38673294	0.1413
85	2	37.71570991	0.0859
90	2	41.6074465	0.059
95	2	43.11552724	0.0429
100	2	43.68577919	0.0215
60	3	30.33185732	0.5778
65	3	30.20571978	0.4436
70	3	29.60307804	0.2773
75	3	35.88399052	0.2093
80	3	34.0859041	0.195
85	3	38.01369236	0.1252
