Subset Size	Alpha	Entropy	TAR	Old Calc
65	9	23.54713728	0.7394	0
65	10	23.24544604	0.7575	0
65	12	20.04148078	0.8245	0
65	15	14.48211152	0.9071	0
65	18	14.93901533	0.9164	0
65	20	13.73981973	0.9123	0
65	25	11.17421654	0.9346	0
65	30	8.97700057	0.9283	0
70	1	36.40534479	0.2705	0
70	2	33.97780223	0.3006	0
70	3	31.66056192	0.324	0
70	4	29.21615687	0.392	0
70	5	29.22066574	0.433	0
70	6	29.00677221	0.4574	0
70	7	25.75308033	0.5462	0
70	8	26.73288565	0.5613	0
70	9	23.25623157	0.6319	0
70	10	21.05481315	0.6661	0
70	12	20.51393184	0.743	0
70	15	17.93747105	0.8172	0
70	18	13.05430315	0.8583	0
70	20	14.14002996	0.878	0
70	25	11.53459982	0.8858	0
70	30	9.60759967	0.8806	0
75	1	37.99070885	0.1859	0
75	2	37.16859652	0.2139	0
75	3	34.41188136	0.2451	0
75	4	30.96412535	0.2715	0
75	5	32.24252403	0.3141	0
75	6	27.67378061	0.3837	0
75	7	29.43323489	0.4164	0
75	8	28.67404697	0.4579	0
75	9	25.63210439	0.4964	0
75	10	27.53753993	0.5639	0
75	12	20.41955744	0.6495	0
75	15	19.11389457	0.7492	0
75	18	15.17864368	0.7882	0
75	20	14.57580838	0.8204	0
75	25	13.12523574	0.8359	0
75	30	11.2684712	0.798	0
80	2	40.41726539	0.1604	0
80	3	36.05359998	0.1838	0
80	4	37.63698152	0.216	0
80	5	36.78379975	0.2523	0
80	6	34.51883961	0.2887	0
80	7	29.43996086	0.3235	0
80	8	25.97849128	0.3702	0
80	9	27.64445648	0.4543	0
80	10	26.70129436	0.4818	0
80	12	22.14343726	0.5447	0
80	15	19.90231595	0.6526	0
80	18	18.64701704	0.7357	0
80	20	14.89217249	0.7518	0
