40	0	26.77582568	0.8514
45	0	30.0720443	0.838
50	0	32.7781239	0.8143
55	0	35.3236737	0.7727
60	0	37.84731264	0.7519
65	0	40.29668829	0.737
70	0	42.478104	0.6805
75	0	44.99118154	0.6374
80	0	47.2795248	0.6033
85	0	49.93223927	0.5498
90	0	51.30871467	0.529
95	0	53.23137852	0.474
100	0	55.16208516	0.4606
105	0	56.97480338	0.3834
110	0	58.18900879	0.3195
115	0	60.28358783	0.2927
120	0	62.47383054	0.2496
125	0	63.15104947	0.2095
130	0	66.02858142	0.1783
135	0	65.78662517	0.1649
140	0	67.74470993	0.1189
40	0.5	27.18236141	0.8455
45	0.5	29.0415493	0.8262
50	0.5	31.65566548	0.8158
55	0.5	35.70094799	0.7875
60	0.5	37.97689361	0.7548
65	0.5	39.42153489	0.7028
70	0.5	41.65218175	0.6909
75	0.5	45.63032037	0.633
80	0.5	46.61048624	0.6033
85	0.5	49.46482662	0.5513
90	0.5	52.17904931	0.5349
95	0.5	53.67072243	0.4577
100	0.5	55.69231345	0.4294
105	0.5	56.96464407	0.3789
110	0.5	58.89924448	0.3224
115	0.5	60.64136816	0.2912
120	0.5	62.63043241	0.2615
125	0.5	63.25173044	0.208
130	0.5	66.45580488	0.1664
135	0.5	67.47547389	0.1664
140	0.5	67.75537862	0.1426
40	1	27.35632003	0.8425
45	1	28.7495545	0.8158
50	1	32.93092491	0.8202
55	1	35.38042711	0.7593
60	1	37.72028691	0.7429
65	1	40.45436996	0.7236
70	1	42.78898718	0.6805
75	1	45.29505391	0.6345
80	1	46.68040583	0.6181
85	1	49.03703814	0.5691
90	1	50.59288568	0.4978
95	1	52.04218492	0.4636
100	1	55.38267086	0.4264
105	1	57.4907817	0.3551
110	1	59.3742891	0.318
115	1	60.06671937	0.2793
120	1	62.30190524	0.2214
125	1	65.11652135	0.2184
130	1	66.2198887	0.1828
135	1	67.72589394	0.1605
140	1	69.37375682	0.1382
40	2	27.29301464	0.8425
45	2	30.61055224	0.8336
50	2	33.33127195	0.8113
55	2	36.30657471	0.7637
60	2	38.01827825	0.7429
65	2	41.12081548	0.7221
70	2	43.1853984	0.6999
75	2	44.30392684	0.6746
80	2	47.51214206	0.6122
85	2	49.7189515	0.5364
90	2	51.28673292	0.529
95	2	52.92566305	0.4532
100	2	56.13635892	0.4071
105	2	57.07743266	0.3314
110	2	57.84597014	0.3314
115	2	61.70102877	0.2779
120	2	60.89025596	0.2303
125	2	64.65768072	0.2021
130	2	66.31651681	0.1649
135	2	67.43428885	0.1367
140	2	68.33344539	0.1144
40	3	26.8459776	0.838
45	3	30.66368016	0.8217
50	3	32.83796704	0.792
55	3	35.69101115	0.7727
60	3	38.63686481	0.7608
65	3	41.07106486	0.7266
70	3	43.51272034	0.6805
75	3	45.10745558	0.633
80	3	47.9543146	0.6137
85	3	50.25976938	0.5334
90	3	51.27642233	0.5305
95	3	53.78599667	0.4636
100	3	56.20733076	0.3938
105	3	58.18915477	0.37
110	3	59.78801575	0.3388
115	3	60.9888786	0.2585
120	3	62.56262165	0.2437
125	3	64.5071164	0.2169
130	3	65.9059486	0.1753
135	3	66.74018763	0.1412
140	3	69.38005871	0.1114
40	5	27.53973127	0.841
45	5	30.05728109	0.8499
50	5	33.49141496	0.8039
55	5	36.01995531	0.7994
60	5	38.51134541	0.7415
65	5	41.30347154	0.7192
70	5	43.46254611	0.6776
75	5	45.97714469	0.6419
80	5	48.45360177	0.5884
85	5	50.32406436	0.5438
90	5	51.95421679	0.477
95	5	54.40527591	0.4621
100	5	55.90538456	0.3893
105	5	57.7635571	0.3432
110	5	59.39476308	0.312
115	5	61.50374291	0.2571
120	5	62.85053516	0.2481
125	5	64.69496083	0.1798
130	5	66.99032265	0.1649
135	5	68.39874618	0.1367
140	5	69.01749003	0.11
40	8	28.08468017	0.8663
45	8	30.70817936	0.8217
50	8	33.2687116	0.7994
55	8	35.77449062	0.7786
60	8	38.55146775	0.74
65	8	41.34608882	0.6865
70	8	43.56870415	0.6776
75	8	45.98511501	0.6449
80	8	47.80245793	0.5914
85	8	50.57611292	0.5275
90	8	53.00933485	0.4785
95	8	54.68491504	0.416
100	8	56.03063968	0.3834
105	8	58.08357794	0.3447
110	8	60.44906164	0.3076
115	8	61.96944042	0.2511
120	8	62.21601531	0.2095
125	8	65.26052983	0.1872
130	8	65.6921098	0.159
135	8	67.88927237	0.1233
140	8	69.04023026	0.1233
40	10	28.19565956	0.8395
45	10	31.36526032	0.8306
50	10	34.06292007	0.7964
55	10	36.09714422	0.7637
60	10	38.91489467	0.737
65	10	41.1508208	0.6716
70	10	44.20050079	0.6657
75	10	46.01284708	0.633
80	10	48.34375714	0.6018
85	10	50.67221127	0.5364
90	10	52.65204859	0.4948
95	10	54.81780747	0.4309
100	10	56.07013482	0.3878
105	10	57.1807987	0.3328
110	10	58.70650065	0.2749
115	10	62.15538901	0.2333
120	10	63.73654761	0.1991
125	10	65.16860271	0.1768
130	10	67.04459038	0.1575
135	10	68.18419568	0.1174
140	10	69.24613454	0.0906
40	15	27.66792528	0.8291
45	15	30.77294601	0.8217
50	15	34.07534929	0.7935
55	15	36.61652957	0.7845
60	15	38.85486967	0.734
65	15	42.30876805	0.7177
70	15	44.41761985	0.6761
75	15	46.39140319	0.6048
80	15	48.59909327	0.5438
85	15	51.2312775	0.5245
90	15	52.46607187	0.477
95	15	54.88546562	0.4354
100	15	56.4574146	0.3373
105	15	58.30663532	0.3239
110	15	60.25246644	0.2704
115	15	62.18167785	0.2348
120	15	63.64173418	0.1842
